"","Client ID","RM ID","Birth year_Client","Sex_Client","Years of relationship","Country_Client","Costumer risk profile","Wealth_Client","Frequency of Communication","Knowledge and experience_Client","Birth year_RM","Sex_RM","Years of employment_RM","Nationality_RM","RM rate","Variable to fixed salary rate","Amount","Date","Liquidity","Volume","Fitting transaction","Fitting asset class","Fitting geography"
"1",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,318213104.16525,2023-04-23,3,4269418392.79,1,0,0
"2",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,720070795.71108,2023-11-10,4,23571142254.48,0,0,0
"3",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,430951461.06951,2023-02-17,1,10881276604.02,0,0,0
"4",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,865539643.32948,2023-01-08,3,28482112132.74,1,1,1
"5",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,649154732.49711,2023-05-08,2,13704822038.24,0,0,0
"6",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,70916063.21397,2023-02-09,5,28872585843.6,0,1,1
"7",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,409131133.92675,2023-01-22,5,74779502.77,0,0,1
"8",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,612787520.59251,2023-07-17,3,19076189075.49,0,0,0
"9",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,843719316.18672,2023-11-17,3,9779316050.85,0,0,0
"10",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,200019665.4753,2023-02-27,5,11950001488.48,0,0,0
"11",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,729162598.68723,2023-10-27,2,11368215807.67,1,0,0
"12",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,434588182.25997,2023-02-04,2,7771173621.66,0,0,0
"13",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,298211137.61772,2023-06-17,1,28713663226.95,0,0,0
"14",56738129,4888296138,1953,0,17,"Mexico",3,1818360595.23,6,1,1983,1,17,"Switzerland",3,0.7,863721282.73425,2023-04-20,2,13775852676.19,0,0,0
"15",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,671529710.69544,2023-03-07,4,26179571851.11,1,0,0
"16",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,817514430.41184,2023-05-19,4,13497542448.12,0,0,0
"17",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,656931238.7238,2023-11-17,1,20413516041.69,0,0,0
"18",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,55960809.22462,2023-03-26,5,25834148222.13,0,0,1
"19",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,262772495.48952,2023-09-09,4,30092484795.75,0,0,0
"20",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,990263015.40958,2023-10-08,1,29644387240.44,0,0,0
"21",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,992696094.07152,2023-12-17,4,25905729362.27,0,0,1
"22",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,647198924.07604,2023-04-03,5,3104888337.66,1,0,0
"23",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,927002970.19914,2023-07-20,3,3357280547.52,0,1,0
"24",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,1158145443.08344,2023-03-06,5,28267797622.17,0,0,0
"25",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,681262025.3432,2023-06-11,4,1171080422.49,1,0,0
"26",151764530,1192631234,1966,0,33,"Portugal",3,2433078661.94,7,3,1989,0,25,"France",3,0.81,973231464.776,2023-10-11,2,27513955447.1,0,0,0
"27",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,337623274.50555,2023-02-16,2,28147666626.09,1,0,0
"28",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,542243440.87255,2023-10-29,3,8049942889.85,0,1,0
"29",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,881912917.04177,2023-10-13,4,25124582783.81,0,0,1
"30",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,419471341.05235,2023-02-13,1,5900557827.96,0,0,0
"31",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,208712569.69434,2023-04-15,1,24421615087.19,0,0,0
"32",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,857358497.07773,2023-11-12,4,1125138254.11,1,0,0
"33",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,626137709.08302,2023-04-13,5,6734001209.05,0,0,0
"34",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,574982667.49127,2023-06-26,3,18549488646.02,1,0,0
"35",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,423563744.37969,2023-09-24,5,20200714431.01,0,0,1
"36",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,235313191.32205,2023-01-18,1,22672703863.45,0,0,0
"37",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,775510430.53093,2023-02-02,2,7149890363.86,0,0,0
"38",174092628,2202743634,1982,0,16,"Japan",2,2046201663.67,6,3,1976,0,3,"Poland",1,1.2,843035085.43204,2023-09-10,2,9140752474.97,0,1,0
