Unnamed: 0,Birth year_Client,Sex_Client,Years of relationship,Costumer risk profile,Wealth_Client,Frequency of Communication,Knowledge and experience_Client,Birth year_RM,Sex_RM,Years of employment_RM,RM rate,Variable to fixed salary rate,Amount,Liquidity,Volume,Fitting transaction,Fitting asset class,Fitting geography,Country_Client_Austria,Country_Client_Belgium,Country_Client_France,Country_Client_Germany,Country_Client_Italy,Country_Client_Japan,Country_Client_Kuwait,Country_Client_Macedonia,Country_Client_Mexico,Country_Client_Portugal,Country_Client_Saudi Arabia,Country_Client_Spain,Country_Client_United Kingdom,Country_Client_United States,Nationality_RM_China,Nationality_RM_Croatia,Nationality_RM_France,Nationality_RM_Germany,Nationality_RM_Italy,Nationality_RM_Poland,Nationality_RM_Spain,Nationality_RM_Switzerland,Anomaly
194,1937,0,9,2,9130843075.08,8,4,1962,0,12,5,0.81,3634075543.88184,1,17328104257.78,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fraud
198,1937,0,9,2,9130843075.08,8,4,1962,0,12,5,0.81,4355412146.81316,5,23817843246.28,0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fraud
250,1963,0,27,5,6908865795.38,4,2,1967,0,26,5,1.38,1899938093.7295,3,12741534947.64,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Fraud
410,1934,0,32,3,8396980996.11,9,1,1955,1,24,3,1.69,3669480695.30007,3,27376442487.64,1,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Fraud
602,1932,0,31,4,1177656057.92,3,2,1967,0,26,5,1.38,346230881.02848,1,23744768955.36,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fraud
825,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,5894909.26302,1,22758413988.81,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
827,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,106620967.53984,1,27834475457.01,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
828,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,57923891.01924,3,641114697.24,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
832,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,91755544.18092,3,13068382339.42,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
833,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,127124999.75904,3,14753449590.12,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
835,1933,0,14,4,256300402.74,4,5,1962,1,29,4,0.34,36138356.78634,5,2783925558.1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Fraud
